name,slug,description,price,category,image_url,in_stock,colors
Dixon,u55-dixon,"- Gray Gel Leather
- Black Accent Pattern
- Dual Power Reclining
- One Armless Manual Recliner
- Two Storage Console
- Separates Into 7 Pieces
- Backs Detach for Easy Delivery
- **LAF Power Recliner:** 34""W x 40""D x 39""H
- **Console:** 14""W x 40""D x 39""H
- **Armless Chair:** 26""W x 40""D x 39""H
- **Wedge:** 68""W x 43""D x 39""H
- **Armless Recliner:** 26""W x 40""D x 39""H
- **RAF Power Recliner:** 34""W x 40""D x 39""H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U55_Dixon.png'],False,"['#000000', '#808080']"
Benz,u63-benz,"- Black Air Gel Leather
- Diamond Accented Stitching
- Pillowtop Arms and Headrest
- Four Cup Holder Storage Compartments
- Built in Bluetooth Speakers with Wireless Controls
- LED Under Glow
- Manual Reclining
- **LAF Loveseat:** 65”W x 38”D x 40”H
- **Wedge:** 62”W x 38”D x 40”H
- RAF Loveseat 65”W x 38”D x 40”H",2249.99,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U63_Benz.png'],True,['#000000']
Leopold,u65-leopold,"- Charcoal Gray Teddy Bear Fabric
- Pillowtop Arms, Back, and Seat Cushions
- Cup Holder Console with Storage
- Manual Motion Recliners
- Tight Stitching on Back, Arms, and Seat Cushions
- **LAF Manual Recliner:** 37""W x 39""D x 41 ""H
- **Console:** 13'W x 39""D x 41 ""H
- **Armless Chair:** 28""W x 39°D x 41""H
- **Wedge:** 67""W x 43° D x 41""H
- **Armless Recliner:** 28""W x 39""D x 41 H
- **RAF Manual Recliner:** 37°W x 39""D x 41 H",2479.99,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U65_Leopold.png'],True,"['#36454F', '#808080']"
Samuel,u76-samuel,"- Gray Tightly Woven Fabric
- Pillowtop Headrests and Arms
- Cup Holder Console with Storage
- High Density Foam Cushion
- Sinuous Spring Support System
- Manual Motion Recliners
- **LAF Loveseat W/Console:** 75""W x 38""D x 40""H
- **Wedge:** 63""W x 40""D x 40""H
- **RAF Loveseat:** 63""W x 38""D x 40""H",2299.99,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U76_Samuel.png'],True,['#808080']
Frederick,u77-u78-frederick,"- Gray Soft Microfiber
- Charcoal Gray Side and Bottom Accents
- Tightly Knit Contrast Stitching
- Side Arm Storage
- Power Adjustable Headrest
- Wireless Charging Capability with On/Off Feature
- Built In USB Ports
- Complete Zero Gravity
- Complete Wall Hugger Motion
- Reenforced Steel reclining Mechanism
- Power Reclining Sofa 87""W x 39""D x 43""H
- Power Reclining Chair 40""W x 39""D x 43""H
- Power Reclining Loveseat 77""W x 39""D x 43""H",0.0,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U77_Frederick.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U78_Frederick.png']",False,"['#36454F', '#808080', '#964B00', '#C2B280']"
Zane,u85-zane,"- Brown PU Leather
- Dual Manual Reclining
- Pillow Top Arms and Headrest
- Two Storage Console
- Separates Into 3 Pieces
- Backs Detach for Easy Delivery
- LAF Loveseat 74""W x 38""D x 40""H
- Wedge 68""W x 38""D x 40""H
- RAF Loveseat 74""W x 38""D x 40""H",2249.99,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U85_Zane.png'],True,['#964B00']
Fallon,u87-fallon,"- Gray Plush Fabric
- Dual Manual Reclining
- Velvet Feel Fabric Material
- Contrast Stitching
- Pillow Top Arms and Headrest
- One Storage Console
- Stainless Steel Cup Holder
- Separates into 3 Pieces
- Backs Detach for Easy Delivery
- **LAF Loveseat:** 72""W x 38""D x 39""H
- **Wedge:** 65""W x 41""D x 39""H
- **RAF Loveseat:** 59""W x 38'D x 39""H",2249.99,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U87_Fallon.png'],True,['#808080']
Hadley,u90-u91-hadley,"- Brown Plush Fabric
- Dual Manual Reclining
- Contrast Stitching
- Pillow Top Arms and Headrest
- Two Storage Console
- Stainless Steel Cup Holders
- USB and Power Outlet in Each Console
- Separates Into 3 Pieces
- Backs Detach for Easy Delivery
- **LAF Loveseat:** 66""W x 38""D x 39""H
- **Wedge:** 63""W x 39'D x 39""H
- **RAF Loveseat:** 66""W x 38""D x 39""H",2099.99,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U90_Hadley.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U91_Hadley.png']",True,"['#808080', '#964B00']"
Hunnely,u92-u93-u94-hunnely,"- Black Air Gel Leather
- Tightly Knit Contrast Stitching
- Power Adjustable Headrest
- Side Arm Storage
- Led Underglow
- USB and Type C Ports
- Diamond Accented Stitching
- Led Underlit Cup Holders
- Reenforced Steel Reclining Mechanism
- Power Reclining Sofa 85""W x 39°D x 46""H
- Power Reclining Loveseat 75""W x 39°D x 46""H
- Power Reclining Chair 36""W x 39°D x 46""H",0.0,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U92_Hunnely.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U93_Hunnely.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U94_Hunnely.png']",False,"['#000000', '#808080', '#FFFFFF']"
Altari,u100-u101-altari,"- Black Gel Leather
- Accent Stitching
- Power Motion Recliners
- Pillowtop Headrests and Arms
- Bluetooth Speakers
- Full Underglow LED Lighting
- Sinuous Spring Support System
- Hidden Drop Down Table with Cup Holders
- Additional Cushion on Seating
- Wireless charge
- USB Charging Ports+ Type C
- Power Reclining Sofa 89""W x 37D"" x 40""H
- Power Reclining Loveseat 77""W x 37D"" x 40""H
- Power Reclining Chair 41'W x 37""D x 40' H",0.0,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U100_Altari.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U101_Altari.png']",False,"['#000000', '#808080']"
Paulina,u104-paulina,"- Dark Brown Air Gel Leather
- Tightly Knit Contrast Stitching
- Power Adjustable Headrest
- Side Arm Storage
- Led Underglow
- USB and Type C Ports
- Diamond Accented Stitching
- Stainless Steel Cup Holders
- Reenforced Steel Reclining Mechanism
- Power Reclining Sofa 82""W x 38.5”D x 43.5”H
- Power Reclining Loveseat 72""W x 38.5°D x 43.5”H
- Power Reclining Chair 37.5”W x 38.5°D x 43.5”H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U104_Paulina.png'],False,['#964B00']
Emelen,u105-u106-emelen,"- Black Gel Leather
- Manual Motion Recliners
- Pillow Top Arms and Headrest
- Cup Holder Console with Storage
- Sinuous Spring Support System
- Reenforced Steel Reclining Mechanism
- Power Outlets
- USB Ports
- Drop Down Cup Holder
- Hidden Storage Compartment in Sofa
- Motion Sofa 88""W x 38""D x 41""H
- Motion Loveseat 79""W x 38""D x 41""H
- Motion Chair 42""W x 38""D x 41 H",0.0,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U105_Emelen.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U106_Emelen.png']",False,"['#000000', '#808080']"
Bexley,u107-bexley,"- Gray Teddy Bear Fabric
- Dual Manual Reclining
- Contrast Stitching
- Pillowtop Arms and Headrest
- Side Pull Tab
- Reenforced Steel Mechanism
- Motion Sofa 85""W x 38""D x 41 ""H
- Motion Loveseat 78""W x 38° D x 41""H
- Motion Chair 41'W x 38 D x 41 H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U107_Bexley.png'],False,['#808080']
Maximilla,u108-maximilla,"- Gray Air Gel Leather
- Dual-Sided Power Reclining
- Power Adjustable Headrest
- Wireless Charging
- Hidden Cup Holder in the Console
- One-Touch Power Controls with Adjustable Positions
- USB and Type C Charging Port Equipped
- Contrast Stitching
- Reenforced Steel Reclining Mechanism
- **Power Reclining Sofa:** 84""W x 39.5""D x 42""H
- **Power Reclining Loveseat:** 74""W x 39.5""D x 42""H
- **Power Reclining Chair:** 39""W x 39.5""D x 42""H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U108_Maximilla.png'],False,['#808080']
Odelia,u110-odelia,"- Gray PU Match
- Pillow Top Headrest
- Manual Motion Reclining
- Hidden Dropdown Table
- Cup Holder Console Storage
- Silver Nailhead Accents
- Reenforced Steel Reclining Mechanism
- Horizontal Accented Design
- Motion Sofa 89""W x 38""D x 41 ""H
- Motion Loveseat 77""W x 38"" D x 41""H
- Motion Chair 42 W x 39""D x 41'D",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U110_Odelia.png'],False,"['#808080', '#C0C0C0']"
Leah,u115-leah,"- Gray Treated Microfiber
- Pillow Top Headrest
- Manual Motion Reclining
- Hidden Drop Down Table
- Cup Holder Console Storage
- Reenforced Steel Reclining Mechanism
- Motion Sofa 83""W x 38""D x 41 ""H
- Motion Loveseat 74""W x 38"" D x 41""H
- Motion Chair 36""W x 38""D x 41 H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U115_Leah.png'],False,['#808080']
Bence,u120-u121-bence,"- Brown Treated Microfiber
- Accented Tan Stitching
- Dual Reclining Loveseat
- Pillowtop Arm and Headrest
- Reenforced Steel Reclining Mechanism
- Side Pull Tab
- Bluetooth Speaker
- Wireless Charger
- Motion Sofa 84""W x 37""D x 39""H
- Motion Loveseat 62""W x 37""D x 39""H
- Motion Chair 39""W x 37""D x 39""H",0.0,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U120_Bence.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U121_Bence.png']",False,"['#808080', '#964B00']"
Avanti,u125-avanti,"- Brown Air Gel Leather
- Pillowtop Arms and Headrest
- Manual Reclining
- Cup Holder Console Storage
- Diamond Stitch Accents
- Reenforced Steel Reclining Mechanism
- Motion Sofa 88""W x 41""D x 41""H
- Motion Loveseat 80""W x 42"" D x 41""H
- Motion Chair 42""W x 41""D x 41""H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U125_Avanti.png'],False,['#964B00']
Ximena,u130-ximena,"- Gray Tightly Woven Fabric
- Pillowtop Headrests and Arms
- Cup Holder Console with Storage
- High Density Foam Cushion
- Sinuous Spring Support System
- Manual Motion Recliners
- Reenforced Steel Reclining Mechanism
- **Motion Sofa:** 85""W x 55""D x 38""H
- **Motion Loveseat:** 75""W x 55""D x 38""H
- **Motion Chair:** 38""W x 55""D x 38""H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U130_Ximena.png'],False,['#808080']
Stephen,u136-stephen,"- Black Gel Leather
- Diamond Stitching Pattern
- Dual Manual Reclining
- Pillow Top Arms and Headrest
- Cup Holder storage Console
- High Density Foam Cushions
- Reenforced Steel Mechanism and Frame
- **Motion Sofa:** 82""W x 37""D x 40""H
- **Motion Loveseat:** 74""W x 37""D x 40""H
- Motion Chair 39""W x 37""D x 40""H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U136_Stephen.png'],False,['#000000']
Dorsten,u145-u146-dorsten,"- Black Gel Leather
- Pillow Top Back, Headrest, and Arms
- Dropdown Table in Sofa
- Cup Holder Storage Console
- Manual Motion Recliners
- High Density Foam Cushion
- Reenforced Steel Mechanism and Frame
- **Motion Sofa:** 87""W X 39""D X 40""H
- **Motion Loveseat:** 77""W X 39""D X 40""H
- Motion Chair 41""W X 39""D X 40""H",0.0,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U145_Dorsten.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U146_Dorsten.png']",False,"['#000000', '#808080']"
Ashley,u154-u155-u156-u157-ashley,"- Black Gel Leather
- Underlit LED
- Motion Manual Reclining
- Drop Down Table
- Storage Console
- Pocket Coil Cushions
- Coordinated Stitching
- Pillow Top Arms and Headrest
- Backs Detach for Easy Delivery
- **Motion Sofa:** 77""W x 39""D x 40""H
- **Motion Loveseat:** 67""W x 39""D x 40""H
- Motion Chair 34""W x 39""D x 40""H",0.0,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U154_Ashley.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U155_Ashley.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U156_Ashley.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U157_Ashley.png']",False,"['#000000', '#808080', '#964B00', '#FFFFFF']"
Conway,u160-conway,"- Dove Gray Fabric
- Motion Manual Reclining
- Drop Down Table
- Storage Console
- Pocket Coil Cushions
- Coordinated Stitching
- Pillow Top Arms and Headrest
- Backs Detach for Easy Delivery
- **Motion Sofa:** 79""W x 38'D x 41""H
- **Motion Loveseat:** 69""W x 38""D x 41""H
- Motion Chair 37""W x 38""D x 41 H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U160_Conway.png'],False,['#808080']
Austin,u170-austin,"- Charcoal Gray Treated Microfiber
- Pillowtop Arm and Headrest
- Light Gray Accented Stitching
- Reenforced Steel Mechanism
- Side Pull Tab
- **Motion Sofa:** 83""W x 38""D x 41""H
- **Motion Loveseat:** 62""W x 38° D x 41""H
- Motion Chair 39""W x 37""D x 41 H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U170_Austin.png'],False,"['#36454F', '#808080']"
Audra,u172-audra,"- Gray Treated Microfiber Fabric
- Manual Reclining
- Cup Holder Console Storage
- Vertical Pattern Accents
- Drop Down Table
- Pillowtop Headrest
- Reenforced Steel Reclining Mechanism
- **Motion Sofa:** 80""W x 40""D x 42 ""H
- **Motion Loveseat:** 70""W x 40""D x 42""H
- Motion Chair 35""W x 40""D x 42""H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U172_Audra.png'],False,['#808080']
Theo,u184-u185-theo,"- Black PU Leather
- Dual-Sided Manual Reclining
- Hidden Drop-Down Table
- Cup Holder Console Storage
- Reenforced Steel Reclining Mechanism
- **Motion Sofa:** 76""W x 37""D x 38""H
- **Motion Loveseat:** 67""W x 37""D x 38""H
- **Motion Chair:** 34""W x 37""D x 38""H",0.0,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U184_Theo.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U185_Theo.png']",False,"['#000000', '#808080']"
Alexia,u190-u191-u192-alexia,"- Black Gel Leather
- Dual Manual Reclining
- Drop Down Table
- Storage Console
- Pocket Coil Cushions
- Coordinated Stitching
- Pillow Top Arms and Headrest
- Backs Detach for Easy Delivery
- Motion Sofa 77""W x 39""D x 40""H
- Motion Loveseat 67""W x 39""D x 40""H
- Motion Chair 34""W x 39""D x 40""H",0.0,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U190_Alexia.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U191_Alexia.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U192_Alexia.png']",False,"['#000000', '#964B00', '#D2691E', '#FF0000']"
